qls_unit_id,unit_collection_pt_timestamp,collection_point_id,concern_id,zone_charged_id
98663220,2020-05-27 08:33:45.0,43,37,4
98690720,2020-05-27 08:09:14.0,126,164,72
98652820,2020-05-27 08:55:48.0,43,164,74
98690120,2020-05-27 08:56:03.0,43,164,74
98683320,2020-05-27 08:21:37.0,126,164,72
98693320,2020-05-27 09:23:30.0,85,32,74
98696720,2020-05-27 08:53:27.0,104,164,33
98695220,2020-05-27 09:30:04.0,84,203,58
98651820,2020-05-27 09:31:17.0,85,20,74
98689320,2020-05-27 08:47:56.0,43,37,40
98745120,2020-05-27 09:50:52.0,62,37,2
98749420,2020-05-27 09:50:44.0,62,37,2
98645120,2020-05-27 09:58:55.0,83,25,74
98633120,2020-05-27 09:41:32.0,28,164,71
98687820,2020-05-27 10:00:09.0,128,104,74
98588520,2020-05-27 09:39:59.0,28,186,54
98677220,2020-05-27 10:21:38.0,83,25,57
98698020,2020-05-27 10:27:57.0,71,44,72
98682820,2020-05-27 10:28:22.0,83,25,72
98698020,2020-05-27 10:36:14.0,83,25,74
98694920,2020-05-27 10:43:24.0,93,25,29
98670620,2020-05-27 08:23:53.0,17,47,70
98693020,2020-05-27 10:50:38.0,93,25,29
98666520,2020-05-27 10:44:51.0,45,54,29
98746520,2020-05-27 11:05:16.0,61,37,64
98666520,2020-05-27 09:58:03.0,17,252,74
98662020,2020-05-27 11:02:43.0,84,25,72
98689720,2020-05-27 11:01:48.0,83,25,57
98747320,2020-05-27 11:22:55.0,62,131,2
98750120,2020-05-27 11:23:15.0,62,37,2
98750620,2020-05-27 11:32:14.0,62,131,2
98668120,2020-05-27 11:37:30.0,104,138,33
98662020,2020-05-27 11:43:43.0,44,114,22
98742820,2020-05-27 11:55:30.0,62,37,2
98704920,2020-05-27 12:06:39.0,69,104,54
98704720,2020-05-27 11:59:35.0,128,164,74
98670620,2020-05-27 11:07:22.0,43,114,22
98684920,2020-05-27 12:16:31.0,128,164,74
98684920,2020-05-27 12:16:32.0,128,164,74
98684920,2020-05-27 12:23:21.0,128,164,74
98746220,2020-05-27 12:40:04.0,62,37,2
98692520,2020-05-27 11:53:07.0,84,25,58
98737120,2020-05-27 12:53:58.0,67,168,2
98684920,2020-05-27 12:39:18.0,128,164,74
98667220,2020-05-27 10:00:40.0,5,135,7
98503820,2020-05-27 08:50:13.0,44,203,57
98503820,2020-05-27 08:50:35.0,45,54,74
98752120,2020-05-27 12:29:52.0,32,24,2
98750020,2020-05-27 13:30:40.0,62,37,2
98684920,2020-05-27 12:16:32.0,128,164,74
98684920,2020-05-27 12:19:18.0,128,164,74
98684920,2020-05-27 12:27:45.0,128,164,74
98640820,2020-05-27 10:01:44.0,5,37,2
98691420,2020-05-27 13:27:56.0,44,21,29
98658620,2020-05-27 12:59:24.0,84,25,74
98742620,2020-05-27 13:40:51.0,64,42,2
98663520,2020-05-27 13:39:28.0,104,164,33
98693920,2020-05-27 13:03:49.0,28,22,57
98670620,2020-05-27 10:55:40.0,123,44,57
98687220,2020-05-27 12:01:33.0,105,22,57
98671520,2020-05-27 13:58:27.0,79,130,72
98748520,2020-05-27 14:01:10.0,61,37,2
98677220,2020-05-27 13:37:27.0,43,22,70
98691320,2020-05-27 13:31:35.0,43,22,70
98621920,2020-05-27 14:13:45.0,127,138,73
98668120,2020-05-27 08:15:57.0,79,130,64
98695120,2020-05-27 13:41:09.0,126,164,72
98695120,2020-05-27 13:41:07.0,126,164,72
98645220,2020-05-27 13:44:03.0,126,164,72
98645220,2020-05-27 13:44:11.0,126,164,72
98588920,2020-05-27 13:47:58.0,126,164,72
98552020,2020-05-27 15:04:12.0,85,32,74
98662020,2020-05-27 15:12:48.0,28,37,2
98695920,2020-05-27 14:48:02.0,26,148,7
98639020,2020-05-27 13:43:06.0,28,135,54
98681820,2020-05-27 11:38:31.0,17,164,57
98651520,2020-05-27 14:12:54.0,104,164,33
98670320,2020-05-27 15:06:22.0,93,25,57
98604820,2020-05-27 13:59:57.0,108,164,29
98694320,2020-05-27 13:31:26.0,43,22,70
98645520,2020-05-27 08:44:57.0,43,135,57
98692720,2020-05-27 15:26:52.0,45,37,4
98658820,2020-05-27 15:23:26.0,45,54,74
98660920,2020-05-27 15:47:11.0,29,36,29
98703820,2020-05-27 14:15:19.0,17,47,74
98653720,2020-05-27 15:49:39.0,29,21,65
98649020,2020-05-27 15:53:05.0,28,52,55
98697820,2020-05-27 15:52:33.0,127,138,73
98653920,2020-05-27 14:36:49.0,45,54,74
98623820,2020-05-27 15:58:54.0,17,22,70
98698020,2020-05-27 15:25:15.0,44,12,57
98695020,2020-05-27 15:05:56.0,88,25,58
98704920,2020-05-27 14:49:22.0,17,47,74
98704220,2020-05-27 15:17:33.0,17,47,74
98651520,2020-05-27 16:13:26.0,45,54,29
98684420,2020-05-27 14:51:32.0,43,135,57
98704320,2020-05-27 16:30:26.0,84,25,58
98678820,2020-05-27 16:43:57.0,93,25,57
98668120,2020-05-27 15:46:02.0,43,24,70
98602620,2020-05-27 09:16:47.0,43,130,1
98669220,2020-05-27 11:37:17.0,79,130,64
98630520,2020-05-27 13:09:25.0,7,25,75
98660920,2020-05-27 15:47:11.0,29,21,57
